func_name,endpoint_id,running_duration,energy_consumed,llc_misses,instructions_retired,core_cycles,ref_cycles
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.144196,60033765.43953608,5997670.309219235,123155335821.76006,37583304555.45944,29531944668.422997
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.73461,59845309.132099696,6630982.487000416,122463041381.72893,37194833576.72114,29227319760.726967
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.919182,59846635.028992385,6689063.1053661825,122438598343.75183,37185860797.25688,29220199137.882706
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.80178,59909215.33233136,6939593.00026114,122452473222.63184,37264975375.32,29282862242.76532
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.796595,59839479.78436478,6670594.327159238,122432241933.00877,37295527699.76915,29306298910.185654
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.809562,59940678.45841582,6445097.184077419,122750284659.18242,37460650622.05341,29436038373.62372
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.642299,59769962.841534674,6622803.917308434,122308778606.35294,37272819134.01334,29288446900.021477
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.716434,59870373.26233145,6805251.582292676,122433944429.2066,37173869910.218185,29211402324.704655
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.774184,59917221.59564389,6557342.463162955,122648451306.51225,37484134454.91597,29455030832.01302
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.757188,59947831.86103503,6612448.440697611,122686848977.22104,37376182717.90031,29369625379.580666
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.70827,59866236.62441212,6718310.33856415,122466018122.71349,37376391541.154785,29370432037.432793
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.711051,59861787.871384285,6475137.693259486,122570669930.11926,37405708128.57323,29392455174.921223
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.72588,60023145.677735895,6664222.759353151,122820608233.61531,37391695523.55433,29382373974.70696
__main__.dna_visualization,ac25fdcf-5df3-41d4-a1d3-cea21126d439,14.777774,60017226.71105319,6569547.341125574,122852567501.47583,37430233921.081,29412727000.360226
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.015118,2573.1262637163113,18321.859661812712,1564573.7550428822,3326229.0969947986,2613565.0470586754
__main__.graph_pagerank,ac25fdcf-5df3-41d4-a1d3-cea21126d439,7.936773,27881322.86712392,249011317.42251426,13157480650.891907,20059377014.958763,15760950033.749033
__main__.graph_pagerank,ac25fdcf-5df3-41d4-a1d3-cea21126d439,7.388949,27812208.729612924,243630152.0825075,13483038906.11473,17737631832.771217,13936704117.924482
__main__.graph_pagerank,ac25fdcf-5df3-41d4-a1d3-cea21126d439,7.436066,28124911.96116216,248805997.5094622,13451436543.053919,17870878477.58681,14041420083.737852
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.260469,684276.4694959263,945977.5318979347,373623570.65980643,285906829.94633466,224646052.44624847
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.062516,16577.478062446993,30212.517052620882,9051511.811868636,7095144.221797941,5574733.4992866535
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.060007,16094.989746831583,26608.28414475858,8788067.114705961,6700438.195453726,5264696.690777879
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.059806,19726.743089371303,39739.260352260884,10771050.18088536,8627271.437081799,6778767.977078466
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.059094,20449.518639605172,37017.92593176267,11165694.73451551,8844370.967650749,6949321.088802792
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.061504,21373.49931853795,38804.950516403784,11670199.822550975,9158696.391524393,7196135.786970567
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.06851,25541.704852480434,42055.86545729944,13946092.541736163,10833924.394073967,8512312.967134017
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.064479,30656.892709379536,59041.186487239174,16739049.536294349,13069957.413614176,10269176.782781363
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.082628,41198.597942900626,79619.42205172154,22494953.364308134,18142592.59325546,14255198.26889845
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.063718,30138.14010851532,63020.984175728576,16455804.082645409,13601138.678483069,10686284.523946524
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.06275,35452.54760456542,76053.50104311074,19357537.509308577,16277747.95201879,12789668.419880174
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.064048,36693.85994363797,78180.85434806795,20035309.680504367,16435931.286218964,12914046.90086975
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.063539,36291.13883378531,77450.99846672028,19815418.882339,16170081.600854598,12705021.938121945
__main__.thumbnailer,ac25fdcf-5df3-41d4-a1d3-cea21126d439,0.061676,36488.834215871466,74565.59901501797,19923363.050888762,16657037.094406754,13087610.25054188
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.015339,169291.29587205124,707781.8895499478,197889810.95742366,181139310.01732114,142322700.11083123
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.659716,10512113.860438379,34846432.826938644,12287933729.193422,4087908098.8186126,3481327582.588226
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.652589,9822249.849419545,27615514.54206572,11481530434.661247,3621973686.248823,3063296195.862509
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.77142,9641112.321065987,27348062.41493933,11269793197.619415,3552120727.7347126,3004089998.2667036
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.861759,9514519.806613836,30696536.181552485,11121815307.648657,3568166128.2753153,3069465930.7966104
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.82369,9672545.897937618,30501491.33663795,11306536873.972052,3610494881.890223,3106177997.9035397
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.913228,9568450.562906194,30051251.67041971,11184856630.07757,3573541750.2282085,3075625505.519223
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.930858,9904191.055545332,30596478.90017156,11577314034.794529,3739810768.5911813,3189904678.600906
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.957335,9549493.680607984,27314899.15641405,11162697346.370708,3531781962.0294933,2986890453.171376
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.69592,9724869.14057769,31504142.52921271,11367699124.17153,3627415094.5854297,3117843566.0681996
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.797522,9523644.739478443,27090451.770745732,11132481722.778105,3510927319.0525374,2969185194.7856355
__main__.matrix_multiplication,ac25fdcf-5df3-41d4-a1d3-cea21126d439,2.808653,9664101.629369497,30718885.107443616,11296666108.30742,3613208027.4914155,3107486848.5444946
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.001298,3643.854332326882,19402.27017548688,1560094.2102200524,2529388.242986263,1987314.3691271734
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.4171,4051154.22201696,20386510.27042879,1830558295.1296837,1319159267.4382288,1081075103.7809873
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.469385,4175631.484803221,21410416.366970755,1854560923.6960335,1398101893.3848543,1143062746.6667523
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.475328,4151246.1664030403,21406102.048083697,1833938091.0247228,1401722906.1656482,1145592927.4961572
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.481125,4203687.439928499,22184288.680172894,1815917332.167512,1430157619.6175668,1167871407.905698
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.39553,4732364.034434938,22430676.796881847,2250623968.123895,1634877513.5608385,1342744060.5676486
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.462726,4742922.789837737,19411329.657733448,2504622157.0521216,1536916347.484704,1270503722.6256583
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.604533,5057789.437386425,22056376.166880902,2560870477.735757,1776011397.2695363,1460213504.502707
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.567702,4703319.340429462,20647824.702482108,2370261484.510734,1577402405.6377363,1298208916.4804368
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.654953,5063608.183354384,22484075.541472886,2531181720.301496,1773198296.5791597,1456649341.6169128
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.620702,4815431.825302315,21812593.315834183,2372203495.6167765,1677055164.8511863,1376490856.0947728
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.642829,5153922.520738075,22917893.9471096,2573667736.574027,1800559578.4460657,1479298395.2652156
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.643481,40550.449364535045,34999.87490058178,29992716.680423737,24156059.489906907,18982560.725459278
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.65266,5126715.729122777,22610039.116119254,2575240233.047221,1801825739.1562417,1480487471.7412782
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.668977,4541661.594013864,21670673.438390434,2148257127.210945,1525652796.572236,1250987653.4714375
__main__.cholesky_decomposition,ac25fdcf-5df3-41d4-a1d3-cea21126d439,1.638133,4601719.068799724,21741568.117445577,2194159364.208496,1550940758.5170534,1272344644.6937385
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.653624,38670.8031623133,33226.246734388056,28741744.72687292,22862286.95110178,17962556.76788485
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.654282,40265.120226986706,34580.950627740356,29940653.16960144,23976035.48787296,18839430.46574527
time.sleep,ac25fdcf-5df3-41d4-a1d3-cea21126d439,15.015164,12483.001713120679,19122.858395344283,1545587.7847984033,2766280.417743938,2173561.1163002136
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.658594,39806.37217818317,35071.76527071651,28784808.177105427,22721562.40636599,17854117.725235462
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.658553,39257.16698914394,34054.36256547156,28878932.226326227,22933872.403064728,18020552.54338664
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.652747,38757.37956591556,33248.807696143165,28853813.407128334,22917829.793281317,18007548.75615138
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.655138,51506.13815596048,53908.559556746506,29392007.05655265,25673301.878067613,20172553.096223116
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.65789,38481.85683675879,32806.24902052758,28838559.40385151,23441521.800982952,18418446.180742204
chemfunctions._compute_vertical,ac25fdcf-5df3-41d4-a1d3-cea21126d439,5.656372,38320.522600956494,32985.07474620815,28426345.472654343,23980954.92013836,18842941.473674178
__main__.compression,ef86d1de-d421-4423-9c6f-09acbfabf5b6,2.273529,3116766.9925421206,1383464.6626396407,5452784285.62267,4098232592.4397116,4098331255.5730324
__main__.compression,ef86d1de-d421-4423-9c6f-09acbfabf5b6,2.346014,3238150.5712341494,2225472.814787051,5665144873.375475,4314478426.891932,4314593188.993035
__main__.compression,ef86d1de-d421-4423-9c6f-09acbfabf5b6,2.345233,3270305.4353695,2222049.3132591373,5721399812.63882,4351506344.925521,4351573583.169951
__main__.dna_visualization,ef86d1de-d421-4423-9c6f-09acbfabf5b6,17.18446,71069169.2932345,15242510.267921695,124150577977.99419,48237127865.16033,48242943838.93377
__main__.graph_mst,ef86d1de-d421-4423-9c6f-09acbfabf5b6,3.680638,9154083.853473853,54643157.86280339,7917241820.998404,8871502342.969728,8871821068.310137
__main__.graph_mst,ef86d1de-d421-4423-9c6f-09acbfabf5b6,3.625261,9051804.539811878,53398058.10402605,7878468741.306901,8748273145.00933,8748561141.832178
__main__.graph_pagerank,ef86d1de-d421-4423-9c6f-09acbfabf5b6,29.131588,12188874.67268413,108440480.61660397,7748086595.874823,13403726786.226347,13404111778.108263
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.131976,2692.6715166189815,3121.8137191119476,6682889.769925375,3629355.4127014442,3629815.4983318206
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.200696,8334.281506949115,9662.550439867873,18674336.196089886,9858056.089081476,9858285.458332328
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.032162,314.504018126108,364.6278249842128,720320.1868894103,386546.99307695497,386585.50670917705
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.108695,617.2109438006212,715.5784060740903,3375289.835216347,1859415.5253992998,1859803.5081609485
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.140478,2905.917503346994,3369.0456012044174,6985512.44824771,3798590.684188042,3799104.808611484
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.170684,3075.0131647632898,3565.0907379363803,9193800.666221492,4980191.819258381,4980757.365536554
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.070924,1296.0050389714293,1502.5547251969815,3398803.115707836,1848412.4554302325,1848548.067256045
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.081028,1680.9069437307198,1948.8000393296047,4095494.0635772822,2246688.7465618425,2246978.0251694256
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.080632,1498.2238117203942,1737.0019405856165,4197026.618523446,2301725.4491322525,2301781.239462984
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.090054,2012.5897158999178,2333.3444674776542,4920327.181877907,2689103.82035442,2689351.880090937
__main__.thumbnailer,ef86d1de-d421-4423-9c6f-09acbfabf5b6,0.090209,2015.9407012357656,2337.229513214367,5070605.334667541,2711425.8711538706,2711556.71278424
__main__.video_processing,ef86d1de-d421-4423-9c6f-09acbfabf5b6,1.426798,44178.232432238074,12350.187204598977,1612158.0093179173,3516319.5464946856,3518190.3237480232
__main__.video_processing,ef86d1de-d421-4423-9c6f-09acbfabf5b6,1.389011,42472.11194952227,11873.23495469849,1547067.084566689,3316194.3530826303,3317918.6426220667
__main__.video_processing,ef86d1de-d421-4423-9c6f-09acbfabf5b6,1.38892,48871.86438523635,13662.309263310035,1589343.4048248376,3422429.3839627407,3425762.047334909
__main__.cholesky_decomposition,ef86d1de-d421-4423-9c6f-09acbfabf5b6,3.571613,19167037.056110367,24798221.67563953,159750929.41485178,981288925.9484924,986884878.2616514
__main__.cholesky_decomposition,ef86d1de-d421-4423-9c6f-09acbfabf5b6,3.848688,20104817.97676087,24695144.00114217,204344511.63701627,1136897163.679223,1146748206.2990625
__main__.cholesky_decomposition,ef86d1de-d421-4423-9c6f-09acbfabf5b6,4.018816,16597523.093483103,20358029.65938474,169507708.13256136,801891077.8129851,810574414.5324655
__main__.cholesky_decomposition,ef86d1de-d421-4423-9c6f-09acbfabf5b6,4.193926,24250955.8619987,27672641.54398372,305583526.41556144,1206378560.2397761,1221448709.7221766
__main__.compression,6754af96-7afa-4c81-b7ef-cf54587f02fa,2.031618,1315022.4822927169,418501.90271138406,5117873955.200301,5227488290.413302,4093717247.951729
__main__.graph_bfs,6754af96-7afa-4c81-b7ef-cf54587f02fa,10.184784,16180172.853924064,99808199.92370662,13025393320.00458,21186432205.36071,25172712340.82877
__main__.compression,6754af96-7afa-4c81-b7ef-cf54587f02fa,2.021562,1273370.936651093,443232.99248339894,5257174769.823467,5068708295.8327675,3946703091.8939266
__main__.graph_bfs,6754af96-7afa-4c81-b7ef-cf54587f02fa,10.072066,16192785.592944441,100930268.1818796,12962283471.019495,21375726666.803856,25259703028.825817
__main__.graph_bfs,6754af96-7afa-4c81-b7ef-cf54587f02fa,10.205086,16106727.103929864,101257727.25594316,13057542932.955359,20875005104.731903,24981725330.90126
__main__.graph_bfs,6754af96-7afa-4c81-b7ef-cf54587f02fa,10.312267,16076627.423645616,98978943.10224016,13035829118.30258,20829656249.267544,25034913912.46444
__main__.graph_bfs,6754af96-7afa-4c81-b7ef-cf54587f02fa,10.368218,16062312.288694879,98391526.17858666,13075177327.067812,20690938444.269314,24990633595.591286
__main__.dna_visualization,6754af96-7afa-4c81-b7ef-cf54587f02fa,41.951103,195246731.95697004,29076285.787014883,164744497850.98416,119690425872.58376,90033611053.78477
__main__.dna_visualization,6754af96-7afa-4c81-b7ef-cf54587f02fa,42.374939,196159654.343563,33251730.38694951,165369742763.73642,120948317212.94934,91015101112.02979
__main__.compression,6754af96-7afa-4c81-b7ef-cf54587f02fa,2.218808,1510630.7309523032,441251.8497734579,5578503605.455132,5999634139.912705,4716541704.638641
__main__.dna_visualization,6754af96-7afa-4c81-b7ef-cf54587f02fa,42.479265,196345433.36803168,32951935.18530884,165538257693.1746,121305798693.77283,91303013406.24509
