,task_id,endpoint_id,user_id,function_id,task_status,predicted_runtime,predicted_energy,predicted_credits,running_duration,energy_consumed,credits_consumed,llc_misses,instructions_retired,core_cycles,ref_cycles,time_completed,name
56,df8bc8d2-cc29-486f-8f57-15f761d8fd60,1a302149-7bef-40fe-9dc1-08ae540dc719,user_0,4d775426-1026-4ed7-a731-86f84cca8799,finished,3.32509,16.1846,0.00400795,2.88943,10.519,0.00343575,0.0,0.0,0.0,0.0,2024-03-21 19:29:42,graph_pagerank
57,ee599a16-d381-49ee-b236-0a5008df8c8e,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,2cd0a3d6-5af2-44ee-ae60-3e1796941b28,finished,5.02439,18.1989,0.00524023,6.15651,0.916197,0.00450798,4376800.0,441912000.0,155196000.0,0.0,2024-03-21 19:29:42,cholesy_decomposition
58,123d6a33-4f94-431c-a3d1-2968353cbaef,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,3cbb6e2b-cb17-428d-97ea-608416101d02,finished,4.5599,34.2068,0.0059236,3.97037,22.8847,0.00522963,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,cholesy_decomposition
59,2306ddbe-73a3-48d1-99d8-a9ab7c619067,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,85d36059-a1a9-45d2-8372-83211b108c73,finished,2.13467,14.503,0.00265076,1.96198,10.6366,0.00252983,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,matrix_multiplication
60,289ef857-f52b-40c2-82e1-42bb09faae4c,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,4b76e707-fe36-4407-b14b-5bae165a1d8a,finished,3.32509,16.1846,0.00400795,2.82614,10.2197,0.0033515,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,graph_pagerank
61,2ee9cd13-b16d-42db-ba37-d0bdff04208f,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,8dae0691-a80f-4088-bd32-da0d817b00c4,finished,0.649891,1.17169,0.000523619,0.554673,0.00844293,0.000397298,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,molecular_dynamics_ie
62,3573e914-a849-4724-9c45-a082712f9c85,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,ae4f0cac-fb19-40f0-baee-2a7f2f15c4ff,finished,0.649891,1.17169,0.000523619,0.563154,0.0179006,0.00040459,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,molecular_dynamics_ie
63,6618b953-bf18-4b5d-b5d6-41508b7a801c,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,c97bd60f-c7d8-4a50-b224-c511449e8acd,finished,0.649891,1.17169,0.000523619,0.551533,0.0106612,0.000395345,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,molecular_dynamics_ie
64,66586860-d0e7-4e74-ada6-bad0da34b9b1,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,f5771b46-57a7-45a1-bc0b-d64c5bafd71b,finished,2.13467,14.503,0.00265076,2.08166,8.94241,0.00249444,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,matrix_multiplication
65,a342a48f-48ee-49e3-a521-c6974846aef7,1a302149-7bef-40fe-9dc1-08ae540dc719,user_0,cde1e18d-26e0-4a08-baf3-983c13b5c7a2,finished,3.32509,16.1846,0.00400795,2.96886,11.3162,0.00359645,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,graph_pagerank
66,b05d7ebd-fb3e-40ef-a49f-605ee934c1c5,1a302149-7bef-40fe-9dc1-08ae540dc719,user_0,822ae1af-17e0-453a-8096-5c71efe679ea,finished,0.649891,1.17169,0.000523619,0.57298,0.0205128,0.000411949,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,molecular_dynamics_ie
67,b491c774-6357-4975-b451-19ca8e356629,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,01add835-717f-4716-83e5-22f5e971db5a,finished,5.45737,17.7811,0.00543278,6.0736,7.46888,0.00531237,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,cholesy_decomposition
68,b6181b75-bd2d-4f7d-83b7-1440638c0908,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,b98896ae-74ff-4ba7-ad12-a15f2251be5f,finished,2.13467,14.503,0.00265076,2.14275,10.4052,0.00266483,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,matrix_multiplication
69,bf1fc0fa-56df-4215-909a-961a91942cbf,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,74b8ea7e-0369-4b23-964e-19ccc616a41e,finished,2.13467,14.503,0.00265076,2.10241,11.8313,0.00274601,0.0,0.0,0.0,0.0,2024-03-21 19:29:41,matrix_multiplication
70,46ffb93d-b6bd-4a43-b716-54d9ee7585cf,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,d2542268-a354-4685-8770-066d132fa77d,finished,3.73698,7.56256,0.00311851,4.19211,1.96747,0.00325097,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,matrix_multiplication
71,66a6208c-a672-447e-9e87-b0fff0de6167,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,41d383cb-10be-4238-b277-aaf980b34865,finished,0.649891,1.17169,0.000523619,0.518939,0.0503374,0.000377237,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,molecular_dynamics_ie
72,729d93b2-2172-498d-b35f-08ab05e60ebc,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,00b02b14-107c-42b4-a78a-25a8e97686c4,finished,4.5599,36.1478,0.00608077,3.87696,21.2825,0.00502046,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,cholesy_decomposition
73,7ad59f9c-b224-4d4c-8660-89a360f8c872,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,39a3b989-4f73-4b0f-be46-2020c70601e2,finished,3.32509,16.1846,0.00400795,3.47893,13.846,0.00429071,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,graph_pagerank
74,803603a4-0dc5-4d8b-9336-b43b34837629,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,4a46ffdb-ae5f-4f62-b0d5-0c2698e6e2eb,finished,3.32509,16.1846,0.00400795,2.8569,11.3862,0.00352561,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,graph_pagerank
75,8d46dda0-040c-471b-a07c-349d1e81bda3,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,df6a2923-98b7-4878-be11-823849536495,finished,2.13467,15.4117,0.00272434,2.12223,9.64475,0.00258581,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,matrix_multiplication
76,9c1879eb-3b41-4a13-8ff0-06bcaf69fc0f,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,2533d9bf-1083-4379-96eb-a629b8f9acea,finished,0.649891,1.17169,0.000523619,0.511754,0.00999565,0.000366844,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,molecular_dynamics_ie
77,ac2ba51e-43ce-480c-8db3-1666d802603d,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,48449b1a-9e13-4515-ba32-4575eadb647b,finished,2.13467,15.4117,0.00272434,2.0997,9.37,0.00254441,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,matrix_multiplication
78,aee31567-a565-41d6-9378-7336b9c74849,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,5cb56618-8c8e-4fd8-a19a-62a859536cca,finished,4.5599,34.2068,0.0059236,4.04571,16.5367,0.0047797,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,cholesy_decomposition
79,bff59d0f-bb90-41f3-9c36-2190e79326d0,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_2,b03f8eb3-d6d7-4019-ad9a-6d1bec4ceabf,finished,2.13467,15.4117,0.00272434,2.11787,9.86763,0.00260015,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,matrix_multiplication
80,cf01a2d5-5f16-4983-913a-f35a63a5839b,d0ac23c8-a873-43e8-b5c4-0c7199092d0e,user_0,9ff6bf81-c37a-4f65-a267-cda6df134c00,finished,2.13467,14.503,0.00265076,2.09407,9.14816,0.00252165,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,matrix_multiplication
81,e87762e1-eca1-454d-aaa0-ef5d483b1c37,1a302149-7bef-40fe-9dc1-08ae540dc719,user_1,6d516b98-d6d8-4586-866d-22cb9fe930cc,finished,3.32509,16.1846,0.00400795,3.29939,12.2896,0.00395949,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,graph_pagerank
82,ea181ee2-f4ac-4419-8a7a-64d50b2a1d23,1a302149-7bef-40fe-9dc1-08ae540dc719,user_2,e912157f-550a-4a04-9f45-0c3bca2edee4,finished,3.32509,16.1846,0.00400795,2.95051,11.2346,0.00357269,0.0,0.0,0.0,0.0,2024-03-21 19:29:40,graph_pagerank
